﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,8,臺中市,后里區,0,1,0,7,1,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,9,3,10,3,1,B03,7,2,1,8,2,3,,49,49,1,6,4,120.7097,24.323634,2
2,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,10,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,84,84,1,6,4,120.58882,24.141624,4
3,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,10,臺中市,西屯區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,10,5,5,2,18,2,9,5,4,C03,7,9,1,10,2,14,,59,59,1,12,4,120.64542,24.200825,2
4,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,11,臺中市,豐原區,0,1,0,7,1,6,50,11,9,1,5,4,6,6,4,4,5,5,5,1,12,2,7,1,1,C03,7,9,3,19,2,12,,85,85,1,12,4,120.760581,24.26302,2
5,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,22,臺中市,西區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,C03,,,1,,9,,,85,85,1,12,4,120.665835,24.150304,3
6,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,22,臺中市,沙鹿區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,40,40,1,13,4,120.575482,24.227176,3
7,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,35,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,6,,,,,C03,,,1,,1,,,59,59,1,12,4,120.647722,24.191913,4
8,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,35,臺中市,后里區,0,1,0,7,1,6,40,13,8,1,5,4,6,6,4,4,10,5,5,2,13,2,9,4,1,F01,7,9,7,21,9,11,,84,84,1,12,4,120.680353,24.311933,2
9,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,37,臺中市,西區,0,1,0,7,1,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,13,2,9,2,1,C03,7,9,1,10,2,11,,85,85,1,12,4,120.667455,24.150212,2
10,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,45,臺中市,北屯區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,13,2,7,5,1,F01,7,9,7,21,2,14,,84,84,1,12,4,120.658506,24.17897,2
11,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,48,臺中市,大安區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,5,5,5,1,20,2,9,1,1,C03,7,9,1,10,2,11,,84,84,1,12,4,120.58515,24.376597,2
12,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,49,臺中市,西區,0,0,0,7,,,40,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,7,7,1,13,4,120.657376,24.147777,3
13,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,52,臺中市,神岡區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,1,1,3,4,5,1,13,3,10,3,1,B03,7,9,1,7,2,1,,84,84,1,12,4,120.686149,24.244939,2
14,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,54,臺中市,大里區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,5,5,5,2,17,2,8,1,1,C04,7,1,1,8,2,11,,59,59,1,12,4,120.688781,24.103048,2
15,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,55,臺中市,北屯區,0,1,0,7,3,6,50,5,1,1,5,4,6,6,3,1,10,5,5,2,15,3,10,3,1,B03,7,9,1,7,2,4,,24,24,1,6,4,120.733708,24.176932,2
16,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,55,臺中市,龍井區,0,0,0,6,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,109,109,1,,4,120.574501,24.181213,3
17,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,0,58,臺中市,新社區,0,2,0,7,1,6,50,4,1,1,5,4,6,6,3,1,10,5,5,2,15,3,10,5,4,B03,7,9,1,8,2,2,,24,24,1,13,4,120.806846,24.255865,2
18,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,0,臺中市,大肚區,0,1,0,6,1,6,50,11,9,1,5,4,6,6,4,4,9,4,5,1,17,2,9,1,1,C03,7,9,1,10,2,11,,6,6,1,5,4,120.573483,24.152243,2
19,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,21,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,10,2,,,84,84,1,6,4,120.670547,24.200718,3
20,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,21,臺中市,西屯區,0,1,0,7,2,6,50,13,7,1,5,4,6,6,4,4,5,5,4,2,18,2,9,2,1,C03,7,9,1,10,2,16,,59,59,1,12,4,120.659561,24.189989,2
21,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,24,臺中市,西屯區,0,3,0,7,1,6,50,5,19,1,5,4,6,6,1,1,5,2,5,2,3,2,9,5,4,C03,7,9,1,10,2,11,,10,10,1,12,4,120.645162,24.180595,2
22,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,25,臺中市,大雅區,0,2,0,7,1,6,30,5,1,1,5,4,6,6,3,1,5,5,5,1,17,3,10,3,1,B03,7,9,3,19,2,4,,4,4,1,13,4,120.665967,24.211113,2
23,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,33,臺中市,龍井區,0,0,0,6,,,40,,,,,,,,,,,,,,13,,,,,B01,,,1,,9,,,51,51,1,6,4,120.586062,24.186276,3
24,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,35,臺中市,西屯區,0,0,0,7,,,70,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,11,11,1,12,4,120.624383,24.178531,3
25,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,40,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,2,,,48,48,1,12,4,120.661476,24.121735,3
26,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,40,臺中市,北屯區,0,1,0,7,3,6,50,4,2,1,5,4,6,6,1,1,5,5,4,2,13,2,1,2,1,C03,7,9,1,10,8,11,,53,53,1,6,4,120.694326,24.172395,2
27,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,44,臺中市,東區,0,0,0,7,1,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,2,3,10,3,1,B03,7,2,3,19,6,3,,49,49,1,6,4,120.6866,24.135882,3
28,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,48,臺中市,霧峰區,0,1,0,7,1,6,50,3,2,1,5,4,6,6,3,1,1,4,4,1,18,2,9,1,1,C03,7,9,1,8,2,12,,87,87,1,12,4,120.696016,24.017111,2
29,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,50,臺中市,西屯區,0,1,0,7,1,6,40,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,5,4,B02,7,5,1,8,2,5,,11,11,1,12,4,120.642818,24.158926,2
30,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,1,52,臺中市,南屯區,0,0,0,7,,,40,,,,,,,,,,,,,,14,,,,,B02,,,1,,2,,,49,49,1,13,4,120.623043,24.148064,3
31,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,2,5,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,23,,,,,B02,,,1,8,2,,,84,84,1,6,4,120.686306,24.186899,3
32,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,2,19,臺中市,中區,0,0,0,7,,,0,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,84,84,1,12,4,120.683177,24.139068,3
33,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,2,50,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B01,,,1,,2,,,7,7,1,13,4,120.62904,24.163157,3
34,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,12,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,5,,1,,,85,85,1,13,4,120.679505,24.151266,3
35,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,20,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,59,59,1,13,4,120.62207,24.176612,3
36,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,20,臺中市,沙鹿區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,4,5,5,2,12,3,10,3,1,B03,7,1,1,8,2,8,,51,51,1,13,4,120.579907,24.215298,2
37,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,22,臺中市,北屯區,0,2,0,7,3,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,3,10,3,1,B03,7,6,1,8,9,8,,23,23,1,6,4,120.722543,24.176029,2
38,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,24,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,82,82,1,13,4,120.710445,24.141091,3
39,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,27,臺中市,烏日區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,1,4,4,1,17,2,9,4,1,F01,7,9,7,21,2,11,,21,21,1,6,4,120.621817,24.104969,2
40,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,32,臺中市,北區,0,2,0,7,1,6,50,4,4,1,5,4,6,6,1,1,5,4,4,2,10,2,9,1,1,C03,7,9,1,10,8,11,,53,53,1,12,4,120.672117,24.170069,2
41,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,33,臺中市,北屯區,0,1,0,6,1,6,40,13,8,1,5,4,6,6,4,4,5,5,4,2,12,2,9,2,1,C03,7,9,1,10,2,12,,84,84,1,6,4,120.67776,24.174343,2
42,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,33,臺中市,西屯區,0,0,0,7,,,0,,,,,,,,,,,,,,35,,,,,B02,,,1,,2,,,59,59,1,13,4,120.660041,24.173784,3
43,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,40,臺中市,西屯區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,2,1,1,5,5,2,16,3,10,5,4,B03,7,11,1,8,2,2,,38,38,1,12,4,120.641103,24.173546,2
44,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,3,45,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,9,,,51,51,1,13,4,120.645029,24.151044,3
45,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,4,11,臺中市,南區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,3,4,4,2,17,2,1,3,1,B03,7,15,1,8,7,1,,53,53,1,12,4,120.676605,24.13155,2
46,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,4,17,臺中市,烏日區,0,0,0,7,1,6,30,11,9,1,5,4,6,6,4,4,10,5,5,2,11,,,,,,,,,,,,,86,86,1,,,120.64164,24.076871,3
47,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,4,18,臺中市,中區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B01,,,1,,1,,,49,49,1,12,4,120.679027,24.147349,3
48,66000,387130000C,(04)23274275,(04)23288582,2025,01,1,4,20,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,47,47,1,13,4,120.652949,24.135097,3
