﻿﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分_類別,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,0,10,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,42,42,1,12,4,120.659352,24.118624,3
2,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,0,22,臺中市,大里區,0,1,0,5,1,6,30,4,1,1,4,4,6,6,3,1,10,5,5,2,17,3,10,3,1,B03,7,9,1,8,2,16,,20,20,1,13,4,120.670233,24.10713,2
3,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,1,14,臺中市,南屯區,0,2,0,5,1,6,50,4,1,1,4,4,6,6,3,1,1,4,4,2,15,2,9,5,1,B01,7,9,1,4,2,5,,24,24,1,13,4,120.634384,24.13003,2
4,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,1,23,臺中市,霧峰區,0,1,0,6,1,6,50,5,1,1,5,4,6,6,1,1,10,5,5,2,20,2,9,2,1,C03,7,5,1,10,2,11,,58,58,1,12,4,120.715112,24.07321,2
5,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,3,14,臺中市,北區,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,1,,,120.669742,24.162823,3
6,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,4,15,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B12,,,1,,2,,,78,78,1,12,4,120.705591,24.253144,3
7,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,6,35,臺中市,沙鹿區,0,1,0,5,2,6,50,13,8,1,4,4,6,6,4,4,1,3,4,2,12,3,10,3,1,B03,7,7,1,8,2,2,,40,40,1,12,4,120.571683,24.211368,2
8,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,6,35,臺中市,豐原區,0,1,0,5,2,6,60,4,1,1,4,4,6,6,1,1,10,5,5,2,13,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.726853,24.238332,2
9,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,6,50,臺中市,沙鹿區,0,1,0,5,3,6,50,4,9,1,4,4,6,6,4,4,4,3,5,2,17,2,9,2,1,C03,7,9,1,10,2,16,,84,84,1,12,4,120.562823,24.243074,2
10,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,6,56,臺中市,烏日區,0,1,0,5,2,6,40,13,9,1,4,3,6,6,4,4,1,4,5,1,18,2,9,5,4,C03,7,9,1,10,2,14,,84,84,1,13,4,120.651735,24.099061,2
11,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,5,臺中市,烏日區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,5,4,5,1,12,3,10,3,1,B03,7,6,1,8,2,4,,8,8,1,6,4,120.590013,24.113621,2
12,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,9,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,12,,,,,C03,,,1,,1,,,42,42,1,12,4,120.704574,24.186419,4
13,66000,387130000C,(04)23274275,(04)23288582,2025,08,1,7,10,臺中市,北屯區,0,1,0,6,2,6,50,4,1,1,4,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B12,7,6,1,8,2,6,,11,11,1,6,4,120.705646,24.164669,2
