﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分_類別,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,0,15,臺中市,大里區,0,0,0,7,,,40,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,84,84,1,12,4,120.680126,24.098175,3
2,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,0,50,臺中市,神岡區,0,2,0,7,1,6,50,3,4,1,5,4,6,6,1,1,3,4,4,2,12,2,9,5,4,C03,7,9,1,10,2,11,,6,6,1,12,4,120.694965,24.248368,2
3,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,1,40,臺中市,南屯區,1,1,0,7,1,6,50,4,1,1,5,4,6,6,3,1,10,5,5,2,15,1,1,1,1,C03,7,9,1,10,2,11,,24,24,1,6,4,120.634384,24.13003,1
4,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,1,49,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,20,20,1,12,4,120.724528,24.130123,3
5,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,2,9,臺中市,霧峰區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,11,,,50,50,1,6,4,120.700519,24.070212,3
6,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,2,12,臺中市,西屯區,0,2,0,7,1,6,50,4,1,1,5,4,6,6,3,1,10,5,5,2,15,2,9,3,1,B03,7,9,1,8,2,1,,24,24,1,12,4,120.63393,24.167203,2
7,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,5,42,臺中市,梧棲區,0,1,0,7,3,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,22,2,9,5,1,F01,7,5,7,21,2,11,,87,87,1,6,4,120.558019,24.242151,2
8,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,5,55,臺中市,沙鹿區,0,1,0,7,2,6,60,4,2,1,5,4,6,6,1,1,1,3,5,1,22,2,9,5,4,B03,7,9,1,8,2,1,,84,84,1,13,4,120.56068,24.241093,2
9,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,6,4,臺中市,北區,0,2,0,7,3,6,50,4,1,1,5,4,6,6,3,1,5,5,5,2,15,2,7,2,1,C03,7,9,1,10,2,14,,24,24,1,12,4,120.697361,24.156714,2
10,66000,387130000C,(04)23274275,(04)23288582,2025,10,1,6,27,臺中市,霧峰區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,59,59,1,12,4,120.707395,24.076099,3
