﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
"1","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","1","臺中市","南屯區","0","0","0","7","","","50","","","","","","","","","","","","","","12","","","","","B03","","","1","","2","","","8","8","1","6","4","120.631723","24.145115","3"
"2","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","3","臺中市","北屯區","0","2","0","7","1","6","40","13","8","1","5","4","6","6","4","4","1","4","4","2","17","2","9","1","1","C03","7","9","1","10","2","11","14","26","26","1","6","4","120.70058","24.167448","2"
"3","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","6","臺中市","大肚區","0","0","0","7","1","6","50","13","9","1","5","4","6","6","4","4","5","5","5","1","28","","","","","B03","","","1","","2","","","59","59","1","6","4","120.573438","24.152056","3"
"4","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","9","臺中市","后里區","0","0","0","7","1","6","50","13","9","1","5","4","6","6","4","4","1","4","4","1","13","3","10","3","1","B03","7","9","1","8","2","1","","59","59","1","12","4","120.698738","24.312727","3"
"5","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","22","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","17","","","","","C03","","","1","","1","","","36","36","1","12","4","120.655803","24.199508","3"
"6","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","32","臺中市","北屯區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B02","","","1","","1","","","82","82","1","12","4","120.658632","24.187283","3"
"7","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","40","臺中市","北區","0","0","0","7","3","6","50","18","24","1","5","4","6","6","4","4","10","5","5","2","17","","","","","C03","","","1","","1","","","59","59","1","13","4","120.684041","24.166335","3"
"8","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","41","臺中市","北屯區","0","1","0","7","1","6","50","13","9","1","5","4","6","6","4","4","3","4","5","2","12","2","9","1","1","C03","7","8","1","10","2","14","","40","40","1","13","4","120.662352","24.184888","2"
"9","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","46","臺中市","太平區","0","1","0","7","1","6","50","3","1","1","5","4","6","6","1","1","10","5","5","2","17","2","9","1","1","C03","7","11","1","10","2","13","","45","45","1","12","4","120.712728","24.149812","2"
"10","66000","387130000C","(04)23274275","(04)23288582","2026","1","1","0","49","臺中市","南屯區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","59","59","1","11","4","120.640291","24.153638","3"
